VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_duration,trip_duration_minutes,time_category,Shape_Leng,Shape_Area,zone,LocationID,borough,lat,lng
2,2022-02-19 10:43:46,2022-02-19 10:47:38,N,1.0,41,42,1.0,0.73,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0,0 days 00:03:52,3.8666666666666667,morning,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80420482862898,-73.95206533089232
2,2022-02-16 00:35:16,2022-02-16 00:43:41,N,1.0,42,244,1.0,3.04,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,1.0,1.0,0.0,0 days 00:08:25,8.416666666666666,night,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,40.82104621409778,-73.93951646931666
2,2022-02-09 09:20:40,2022-02-09 09:27:57,N,1.0,41,166,1.0,1.38,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0,0 days 00:07:17,7.283333333333333,morning,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80420482862898,-73.95206533089232
2,2022-02-25 19:37:12,2022-02-25 19:40:38,N,1.0,75,151,1.0,1.03,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0,0 days 00:03:26,3.433333333333333,evening,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-19 17:26:56,2022-02-19 17:37:59,N,1.0,166,244,1.0,1.93,9.5,0.0,0.5,2.58,0.0,,0.3,12.88,1.0,1.0,0.0,0 days 00:11:03,11.05,afternoon,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-18 22:01:12,2022-02-18 22:06:32,N,1.0,95,95,1.0,0.78,5.5,0.5,0.5,1.7,0.0,,0.3,8.5,1.0,1.0,0.0,0 days 00:05:20,5.333333333333333,evening,0.113629605476,0.00057277033803,Forest Hills,95,Queens,40.72346527235991,-73.84821993627048
2,2022-02-06 19:29:19,2022-02-06 19:34:38,N,1.0,166,166,1.0,0.84,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0,0 days 00:05:19,5.316666666666666,evening,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-23 11:24:19,2022-02-23 11:48:02,N,1.0,166,138,1.0,8.3,26.5,0.0,0.5,5.08,6.55,,0.3,38.93,1.0,1.0,0.0,0 days 00:23:43,23.716666666666665,morning,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-02 15:03:02,2022-02-02 15:07:23,N,1.0,75,238,1.0,0.92,5.5,0.0,0.5,2.26,0.0,,0.3,11.31,1.0,1.0,2.75,0 days 00:04:21,4.35,afternoon,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-14 18:38:19,2022-02-14 18:42:25,N,1.0,254,174,1.0,0.75,5.0,1.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0,0 days 00:04:06,4.1,evening,0.0858863754861,0.000360040216032,Williamsbridge/Olinville,254,Bronx,40.88322332929937,-73.85826965181771
2,2022-02-03 09:26:05,2022-02-03 09:30:35,N,1.0,42,42,1.0,0.89,5.0,0.0,0.5,0.58,0.0,,0.3,6.38,1.0,1.0,0.0,0 days 00:04:30,4.5,morning,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,40.82104621409778,-73.93951646931666
2,2022-02-24 16:40:12,2022-02-24 17:12:40,N,1.0,65,87,1.0,3.37,20.5,1.0,0.5,4.0,0.0,,0.3,29.05,1.0,1.0,2.75,0 days 00:32:28,32.46666666666667,afternoon,0.0446070683658,8.1803882541e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69537260932962,-73.9855710635353
2,2022-02-07 12:18:05,2022-02-07 12:29:29,N,1.0,130,130,1.0,1.73,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0,0 days 00:11:24,11.4,afternoon,0.142028320665,0.000468322514327,Jamaica,130,Queens,40.70327388330144,-73.80034752467984
1,2022-02-17 19:07:15,2022-02-17 19:16:07,Y,1.0,43,262,1.0,1.5,8.0,3.75,0.5,2.5,0.0,,0.3,15.05,1.0,1.0,2.75,0 days 00:08:52,8.866666666666667,evening,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,40.782459738636334,-73.96557217995945
2,2022-02-23 13:49:46,2022-02-23 13:49:53,N,5.0,74,74,2.0,0.22,46.0,0.0,0.0,5.8,0.0,,0.3,52.1,1.0,2.0,0.0,0 days 00:00:07,0.11666666666666667,afternoon,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
1,2022-02-12 19:55:30,2022-02-12 20:15:33,N,1.0,75,166,2.0,2.4,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,2.0,1.0,0.0,0 days 00:20:03,20.05,evening,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-05 22:28:39,2022-02-05 22:39:34,N,1.0,74,166,1.0,1.93,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,1.0,1.0,0.0,0 days 00:10:55,10.916666666666666,evening,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
1,2022-02-18 08:01:13,2022-02-18 08:31:39,N,1.0,35,80,1.0,0.0,22.2,0.0,0.5,0.0,0.0,,0.3,23.0,1.0,1.0,0.0,0 days 00:30:26,30.433333333333334,morning,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,40.66380982261528,-73.91248148827825
